fecha,estacion,tipo_pago,afluencia
2021-01-01,Hospital 20 de Noviembre,Boleto,0
2021-01-01,Hospital 20 de Noviembre,Prepago,832
2021-01-01,Hospital 20 de Noviembre,Gratuidad,733
2021-01-01,Atlalilco,Boleto,0
2021-01-01,Atlalilco,Prepago,1141
2021-01-01,Atlalilco,Gratuidad,836
2021-01-01,Calle 11,Boleto,0
2021-01-01,Calle 11,Prepago,2063
2021-01-01,Calle 11,Gratuidad,311
2021-01-01,Culhuacán,Boleto,0
2021-01-01,Culhuacán,Prepago,2591
2021-01-01,Culhuacán,Gratuidad,1303
2021-01-01,Eje Central,Boleto,0
2021-01-01,Eje Central,Prepago,1078
2021-01-01,Eje Central,Gratuidad,373
2021-01-01,Ermita,Boleto,0
2021-01-01,Ermita,Prepago,810
2021-01-01,Ermita,Gratuidad,508
2021-01-01,Insurgentes Sur,Boleto,0
2021-01-01,Insurgentes Sur,Prepago,2243
2021-01-01,Insurgentes Sur,Gratuidad,1128
2021-01-01,Lomas Estrella,Boleto,0
2021-01-01,Lomas Estrella,Prepago,1236
2021-01-01,Lomas Estrella,Gratuidad,445
2021-01-01,Mexicaltzingo,Boleto,0
2021-01-01,Mexicaltzingo,Prepago,1734
2021-01-01,Mexicaltzingo,Gratuidad,1022
2021-01-01,Mixcoac,Boleto,0
2021-01-01,Mixcoac,Prepago,1322
2021-01-01,Mixcoac,Gratuidad,367
2021-01-01,Nopalera,Boleto,0
2021-01-01,Nopalera,Prepago,4490
2021-01-01,Nopalera,Gratuidad,1235
2021-01-01,Olivos,Boleto,0
2021-01-01,Olivos,Prepago,2883
2021-01-01,Olivos,Gratuidad,641
2021-01-01,Parque de los Venados,Boleto,0
2021-01-01,Parque de los Venados,Prepago,809
2021-01-01,Parque de los Venados,Gratuidad,1392
2021-01-01,Periférico Oriente,Boleto,0
2021-01-01,Periférico Oriente,Prepago,2552
2021-01-01,Periférico Oriente,Gratuidad,2055
2021-01-01,San Andrés Tomatlán,Boleto,0
2021-01-01,San Andrés Tomatlán,Prepago,1504
2021-01-01,San Andrés Tomatlán,Gratuidad,210
2021-01-01,Tezonco,Boleto,0
2021-01-01,Tezonco,Prepago,3797
2021-01-01,Tezonco,Gratuidad,385
2021-01-01,Tláhuac,Boleto,0
2021-01-01,Tláhuac,Prepago,3994
2021-01-01,Tláhuac,Gratuidad,2269
2021-01-01,Tlaltenco,Boleto,0
2021-01-01,Tlaltenco,Prepago,751
2021-01-01,Tlaltenco,Gratuidad,0
2021-01-01,Zapata,Boleto,0
2021-01-01,Zapata,Prepago,1103
2021-01-01,Zapata,Gratuidad,177
2021-01-01,Zapotitlán,Boleto,0
2021-01-01,Zapotitlán,Prepago,2293
2021-01-01,Zapotitlán,Gratuidad,0
2021-01-02,Hospital 20 de Noviembre,Boleto,0
2021-01-02,Hospital 20 de Noviembre,Prepago,2047
2021-01-02,Hospital 20 de Noviembre,Gratuidad,0
2021-01-02,Atlalilco,Boleto,0
2021-01-02,Atlalilco,Prepago,3238
2021-01-02,Atlalilco,Gratuidad,375
2021-01-02,Calle 11,Boleto,0
2021-01-02,Calle 11,Prepago,4871
2021-01-02,Calle 11,Gratuidad,590
2021-01-02,Culhuacán,Boleto,0
2021-01-02,Culhuacán,Prepago,5929
2021-01-02,Culhuacán,Gratuidad,0
2021-01-02,Eje Central,Boleto,0
2021-01-02,Eje Central,Prepago,2586
2021-01-02,Eje Central,Gratuidad,0
2021-01-02,Ermita,Boleto,0
2021-01-02,Ermita,Prepago,2213
2021-01-02,Ermita,Gratuidad,414
2021-01-02,Insurgentes Sur,Boleto,0
2021-01-02,Insurgentes Sur,Prepago,5795
2021-01-02,Insurgentes Sur,Gratuidad,0
2021-01-02,Lomas Estrella,Boleto,0
2021-01-02,Lomas Estrella,Prepago,2859
2021-01-02,Lomas Estrella,Gratuidad,146
2021-01-02,Mexicaltzingo,Boleto,0
2021-01-02,Mexicaltzingo,Prepago,4367
2021-01-02,Mexicaltzingo,Gratuidad,521
2021-01-02,Mixcoac,Boleto,0
2021-01-02,Mixcoac,Prepago,2760
2021-01-02,Mixcoac,Gratuidad,99
2021-01-02,Nopalera,Boleto,0
2021-01-02,Nopalera,Prepago,8731
2021-01-02,Nopalera,Gratuidad,536
2021-01-02,Olivos,Boleto,0
2021-01-02,Olivos,Prepago,6148
2021-01-02,Olivos,Gratuidad,87
2021-01-02,Parque de los Venados,Boleto,0
2021-01-02,Parque de los Venados,Prepago,2164
2021-01-02,Parque de los Venados,Gratuidad,297
2021-01-02,Periférico Oriente,Boleto,0
2021-01-02,Periférico Oriente,Prepago,5937
2021-01-02,Periférico Oriente,Gratuidad,8908
2021-01-02,San Andrés Tomatlán,Boleto,0
2021-01-02,San Andrés Tomatlán,Prepago,2934
2021-01-02,San Andrés Tomatlán,Gratuidad,275
2021-01-02,Tezonco,Boleto,0
2021-01-02,Tezonco,Prepago,8212
2021-01-02,Tezonco,Gratuidad,1299
2021-01-02,Tláhuac,Boleto,0
2021-01-02,Tláhuac,Prepago,9549
2021-01-02,Tláhuac,Gratuidad,14272
2021-01-02,Tlaltenco,Boleto,0
2021-01-02,Tlaltenco,Prepago,1486
2021-01-02,Tlaltenco,Gratuidad,1243
2021-01-02,Zapata,Boleto,0
2021-01-02,Zapata,Prepago,2813
2021-01-02,Zapata,Gratuidad,788
2021-01-02,Zapotitlán,Boleto,0
2021-01-02,Zapotitlán,Prepago,4824
2021-01-02,Zapotitlán,Gratuidad,1149
2021-01-03,Hospital 20 de Noviembre,Boleto,0
2021-01-03,Hospital 20 de Noviembre,Prepago,1439
2021-01-03,Hospital 20 de Noviembre,Gratuidad,49
2021-01-03,Atlalilco,Boleto,0
2021-01-03,Atlalilco,Prepago,2253
2021-01-03,Atlalilco,Gratuidad,1158
2021-01-03,Calle 11,Boleto,0
2021-01-03,Calle 11,Prepago,3745
2021-01-03,Calle 11,Gratuidad,1756
2021-01-03,Culhuacán,Boleto,0
2021-01-03,Culhuacán,Prepago,4554
2021-01-03,Culhuacán,Gratuidad,1228
2021-01-03,Eje Central,Boleto,0
2021-01-03,Eje Central,Prepago,1782
2021-01-03,Eje Central,Gratuidad,0
2021-01-03,Ermita,Boleto,0
2021-01-03,Ermita,Prepago,1480
2021-01-03,Ermita,Gratuidad,991
2021-01-03,Insurgentes Sur,Boleto,0
2021-01-03,Insurgentes Sur,Prepago,4018
2021-01-03,Insurgentes Sur,Gratuidad,1026
2021-01-03,Lomas Estrella,Boleto,0
2021-01-03,Lomas Estrella,Prepago,2212
2021-01-03,Lomas Estrella,Gratuidad,2052
2021-01-03,Mexicaltzingo,Boleto,0
2021-01-03,Mexicaltzingo,Prepago,2935
2021-01-03,Mexicaltzingo,Gratuidad,488
2021-01-03,Mixcoac,Boleto,0
2021-01-03,Mixcoac,Prepago,1943
2021-01-03,Mixcoac,Gratuidad,105
2021-01-03,Nopalera,Boleto,0
2021-01-03,Nopalera,Prepago,6940
2021-01-03,Nopalera,Gratuidad,1302
2021-01-03,Olivos,Boleto,0
2021-01-03,Olivos,Prepago,4852
2021-01-03,Olivos,Gratuidad,3336
2021-01-03,Parque de los Venados,Boleto,0
2021-01-03,Parque de los Venados,Prepago,1528
2021-01-03,Parque de los Venados,Gratuidad,83
2021-01-03,Periférico Oriente,Boleto,0
2021-01-03,Periférico Oriente,Prepago,5266
2021-01-03,Periférico Oriente,Gratuidad,8275
2021-01-03,San Andrés Tomatlán,Boleto,0
2021-01-03,San Andrés Tomatlán,Prepago,2062
2021-01-03,San Andrés Tomatlán,Gratuidad,749
2021-01-03,Tezonco,Boleto,0
2021-01-03,Tezonco,Prepago,6247
2021-01-03,Tezonco,Gratuidad,746
2021-01-03,Tláhuac,Boleto,0
2021-01-03,Tláhuac,Prepago,5580
2021-01-03,Tláhuac,Gratuidad,1917
2021-01-03,Tlaltenco,Boleto,0
2021-01-03,Tlaltenco,Prepago,1253
2021-01-03,Tlaltenco,Gratuidad,1525
2021-01-03,Zapata,Boleto,0
2021-01-03,Zapata,Prepago,2077
2021-01-03,Zapata,Gratuidad,0
2021-01-03,Zapotitlán,Boleto,0
2021-01-03,Zapotitlán,Prepago,3828
2021-01-03,Zapotitlán,Gratuidad,2100
2021-01-04,Hospital 20 de Noviembre,Boleto,0
2021-01-04,Hospital 20 de Noviembre,Prepago,4603
2021-01-04,Hospital 20 de Noviembre,Gratuidad,430
2021-01-04,Atlalilco,Boleto,0
2021-01-04,Atlalilco,Prepago,4477
2021-01-04,Atlalilco,Gratuidad,3259
2021-01-04,Calle 11,Boleto,0
2021-01-04,Calle 11,Prepago,8178
2021-01-04,Calle 11,Gratuidad,0
2021-01-04,Culhuacán,Boleto,0
2021-01-04,Culhuacán,Prepago,8499
2021-01-04,Culhuacán,Gratuidad,1138
2021-01-04,Eje Central,Boleto,0
2021-01-04,Eje Central,Prepago,2209
2021-01-04,Eje Central,Gratuidad,4250
2021-01-04,Ermita,Boleto,0
2021-01-04,Ermita,Prepago,4190
2021-01-04,Ermita,Gratuidad,220
2021-01-04,Insurgentes Sur,Boleto,0
2021-01-04,Insurgentes Sur,Prepago,12274
2021-01-04,Insurgentes Sur,Gratuidad,618
2021-01-04,Lomas Estrella,Boleto,0
2021-01-04,Lomas Estrella,Prepago,3928
2021-01-04,Lomas Estrella,Gratuidad,2370
2021-01-04,Mexicaltzingo,Boleto,0
2021-01-04,Mexicaltzingo,Prepago,8107
2021-01-04,Mexicaltzingo,Gratuidad,1297
2021-01-04,Mixcoac,Boleto,0
2021-01-04,Mixcoac,Prepago,5061
2021-01-04,Mixcoac,Gratuidad,0
2021-01-04,Nopalera,Boleto,0
2021-01-04,Nopalera,Prepago,13088
2021-01-04,Nopalera,Gratuidad,0
2021-01-04,Olivos,Boleto,0
2021-01-04,Olivos,Prepago,9934
2021-01-04,Olivos,Gratuidad,384
2021-01-04,Parque de los Venados,Boleto,0
2021-01-04,Parque de los Venados,Prepago,4243
2021-01-04,Parque de los Venados,Gratuidad,567
2021-01-04,Periférico Oriente,Boleto,0
